input cos(single_precision_float)=>double_precision_float
-0.37907127838330523 0.9290087168873424
10111110110000100001010110100001 1011111111011000010000101011010000101101111000001001011011011100
-0.7968399675869715 0.6989700954876178
10111111010010111111110110110100 1011111111101001011111111011011010001000000111011101000011010110
-0.2731334047837357 0.9629303889176954
10111110100010111101100000100100 1011111111010001011110110000010010001000001111110111000100001100
0.6149036870653846 0.8168290116809003
00111111000111010110101001010100 0011111111100011101011010100101001111111010001000101011100110100
0.8375578476923642 0.6692793655382923
00111111010101100110101000110001 0011111111101010110011010100011000011101100010110001100101101100
-0.7560227168626725 0.7275703061599323
10111111010000011000101010110100 1011111111101000001100010101011010001101011111101010100111110100
0.24842732460414507 0.9693003094606862
00111110011111100110001110111100 0011111111001111110011000111011101110001010011011100010100101000
-0.6897437795876318 0.7714090834989127
10111111001100001001001100001100 1011111111100110000100100110000110001011111111100101100010010000
0.9301006841570001 0.5977532688292413
00111111011011100001101100010100 0011111111101101110000110110001010000010100011100010000100011010
-0.5804018824980928 0.836242341144034
10111111000101001001010100111000 1011111111100010100100101010011011110111111110111011011101110010
